country,social_spending,label
France,31.5,France 31.5%
Finland,30.8,Finland 30.8%
Belgium,29.0,Belgium 29.0%
Italy,28.9,Italy 28.9%
Denmark,28.7,Denmark 28.7%
Austria,27.8,Austria 27.8%
Sweden,27.1,Sweden 27.1%
Germany,25.3,Germany 25.3%
Norway,25.1,Norway 25.1%
Greece,25.0,Greece 25.0%
Spain,24.6,Spain 24.6%
Portugal,24.1,Portugal 24.1%
Japan,23.1,Japan 23.1%
Slovenia,22.8,Slovenia 22.8%
Netherlands,22.0,Netherlands 22.0%
Luxembourg,21.8,Luxembourg 21.8%
Britain,21.5,Britain 21.5%
O.E.C.D. avg.,21.0,O.E.C.D. avg. 21.0%
Hungary,20.6,Hungary 20.6%
Poland,20.2,Poland 20.2%
Switzerland,19.7,Switzerland 19.7%
New Zealand,19.5,New Zealand 19.5%
Czech Republic,19.4,Czech Republic 19.4%
United States,19.3,United States 19.3%
Australia,19.1,Australia 19.1%
Slovakia,18.6,Slovakia 18.6%
Estonia,17.4,Estonia 17.4%
Canada,17.2,Canada 17.2%
Ireland,16.1,Ireland 16.1%
Israel,16.1,Israel 16.1%
Iceland,15.2,Iceland 15.2%
Latvia,14.5,Latvia 14.5%
Turkey,13.5,Turkey 13.5%
Chile,11.2,Chile 11.2%
South Korea,10.4,South Korea 10.4%
Mexico,7.5,Mexico 7.5%
